Journal Name,IF,Zone
Nano Letters,9.6,Q1
Journal of Medicinal Chemistry,6.8,Q1
European Journal of Medicinal Chemistry,6.0,Q1
Phytomedicine,6.7,Q1
Journal of Ethnopharmacology,4.8,Q1
Frontiers in Immunology,5.7,Q1
Frontiers in Pharmacology,4.4,Q1
Frontiers in Aging Neuroscience,4.8,Q2
Frontiers in Cellular Neuroscience,5.3,Q2
Frontiers in Molecular Neuroscience,4.8,Q2
Cells,5.1,Q2
International Journal of Molecular Sciences,4.9,Q2
Oxidative Medicine and Cellular Longevity,6.6,Q2
Journal of Advanced Research,11.4,Q1
EBioMedicine,9.7,Q1
Cell Death & Differentiation,12.4,Q1
Cell Death & Disease,8.1,Q1
Cell Proliferation,6.9,Q1
Journal of Biological Chemistry,4.8,Q2
FASEB Journal,4.4,Q2
Journal of Cell Biology,6.1,Q1
EMBO Journal,11.4,Q1
EMBO Reports,7.1,Q1
Elife,6.4,Q1
Stem Cell Reports,5.9,Q2
Current Alzheimer Research,1.9,Q4
Journal of Alzheimer's Disease,3.4,Q3
Experimental Neurology,4.6,Q2
Neuroscience,3.5,Q3
Journal of Neuroimmunology,3.1,Q3
Neuroscience Letters,2.5,Q4
Biochemical and Biophysical Research Communications,2.5,Q4
Scientific Reports,3.8,Q2
PLoS One,2.9,Q3
BMC Neuroscience,2.6,Q4
BMC Neurology,2.6,Q3
Frontiers in Neurology,3.4,Q3
Neural Regeneration Research,4.6,Q2
Chinese Medicine,5.3,Q1
Journal of Traditional and Complementary Medicine,4.3,Q2
American Journal of Chinese Medicine,4.5,Q2
Biomedicine & Pharmacotherapy,6.9,Q1
Phytotherapy Research,6.1,Q1
Journal of Ginseng Research,6.8,Q1
International Immunopharmacology,5.6,Q1
Life Sciences,5.2,Q2
Journal of Functional Foods,4.7,Q1
Food & Function,5.1,Q1
Nutrients,4.8,Q1
Antioxidants,6.0,Q1
Chinese Journal of Natural Medicines,4.6,Q1
Journal of Agricultural and Food Chemistry,5.7,Q1
Natural Product Reports,11.0,Q1
Journal of Natural Products,3.3,Q2
Planta Medica,2.6,Q2
Chinese Herbal Medicines,3.8,Q2
Pharmaceutical Biology,3.8,Q2
Integrative Medicine Research,3.6,Q2
European Journal of Pharmacology,4.2,Q2
Drug Design Development and Therapy,4.7,Q2
Toxicology and Applied Pharmacology,3.8,Q2
Current Neuropharmacology,5.3,Q1
Journal of Pharmacy and Pharmacology,3.3,Q2
Molecules,4.2,Q2
BMC Complementary Medicine and Therapies,3.9,Q2
Journal of Traditional Chinese Medicine,2.6,Q3
Chinese Journal of Integrative Medicine,3.6,Q3
World Journal of Traditional Chinese Medicine,4.4,Q3
Evidence-Based Complementary and Alternative Medicine,2.6,Q3
Journal of Herbal Medicine,3.3,Q3
Journal of Asian Natural Products Research,1.6,Q3
Natural Product Research,2.2,Q3
Journal of Natural Medicines,2.6,Q3
Archives of Pharmacal Research,6.0,Q2
Biological and Pharmaceutical Bulletin,2.1,Q3
Journal of Oleo Science,1.6,Q3
Chemistry & Biodiversity,2.9,Q3
Fitoterapia,3.4,Q3
Journal of Essential Oil Research,2.2,Q3
Neurochemical Research,3.7,Q3
Brain Research,2.7,Q3
Behavioural Brain Research,2.6,Q3
Neurological Sciences,3.3,Q3
Neurological Research,2.3,Q3
Journal of Molecular Neuroscience,2.8,Q3
Cellular and Molecular Neurobiology,4.0,Q2
International Journal of Neuroscience,1.9,Q4
Basic & Clinical Pharmacology & Toxicology,2.7,Q3
Naunyn-Schmiedeberg's Archives of Pharmacology,3.1,Q3
